title,content
문과대학(서관)에 있는 공부할 수 있는 공간은 어디인가요?,서관 202호 근처에 열람실이 있습니다. 이 열람실은 나름 사람이 많지 않아서 조용히 공부하기 좋습니다.
공학관에 공부하기 좋은 공간이 어디에 있을까?,"공학관 2층에 해동도서관이라는 곳이 있습니다. 이곳은 사람들이 잘 모르는 장소로 조용히 공부하기 좋은 곳입니다. 혼자서 공부할 수 있는 공간도 있고, 2인실 스터디룸도 7개쯤 있습니다. 2인실 스터디룸은 따로 예약할 필요 없이 도서관 근장하시는 분께 사용한다고 말만 하면 됩니다."
공학관에 공부하기 좋은 공간이 어디에 있을까?,"2층에 여러 명이 사용할 수 있는 스터디룸들이 있으며, 사전에 예약해야 합니다. 예약은 포탈에서 신청하면 됩니다. 노트북도 사용할 수 있습니다."
공학관에 공부하기 좋은 공간이 어디에 있을까?,공학관 5층에는 엘레베이터에서 내려서 대강당 쪽으로 걸어가면 공부할 수 있는 책상이 있습니다. 콘센트도 있고 의자도 편합니다.
공학관의 최근 변화나 업그레이드된 시설이 있나요?,공학관 공사가 끝나 1층에 가보면 SK 미래관 축소한 버전으로 예쁘게 꾸며져 있습니다.
신공학관에서 공학관으로 가는 지름길이 있나요?,"신공학관에서 공학관 가려면 언덕길을 올라야 하지만, 평지로 더 빠르게 가는 방법이 있습니다. 신공학관에서 엘레베이터를 타고 3층에서 내리면 외부로 나가는 문이 있는데, 공학관 방향으로 평지를 따라 쭉 걸으면 공학관에 도착합니다. 이 길은 아산이학관이나 하스 가기도 매우 편리하며, 특히 봄과 초여름에는 벚꽃과 철쭉이 만개하여 산책하기에도 좋습니다."
현대자동차 경영관(현차관)에서 쉴 수 있는 공간은 어디인가요?,현대자동차 경영관은 각 층마다 라운지가 있습니다. 지하 3층부터 지상 5층까지 각 층당 무조건 라운지가 있어서 공강 시간에 쉬거나 비대면 수업 듣기 좋습니다. 4층과 지하 1층은 스터디룸 위주라 라운지는 한 개 정도만 있습니다.
현대자동차 경영관(현차관)에서 쉴 수 있는 공간은 어디인가요?,"경영본관과 엘포관, 현차관은 모든 층마다 서로 연결되어 있어 밖으로 나가지 않아도 다른 건물로 쉽게 이동할 수 있습니다."
백주년기념관(백기)에 어떤 편의 시설이 있나요?,"백기 지하 1층에서는 전시회가 열립니다. 현재는 사사여생 사진전이 열리고 있으며, 3월 30일까지입니다. 이후에도 다른 전시회가 열릴 것으로 보입니다."
백주년기념관(백기)에 어떤 편의 시설이 있나요?,"백기 2층에는 미니 영화관이 있습니다. 현재 코로나로 인해 운영이 일시 중단되었지만, 나중에 열리면 방문해보세요. 어두운 공간이라 잠이 잘 올 것 같은 곳입니다."
백주년기념관(백기)에 어떤 편의 시설이 있나요?,백기 지하에는 연결 통로가 있습니다. 코로나로 인해 막혀 있던 통로가 이제 다시 열렸습니다.
백주년기념관(백기)에 어떤 편의 시설이 있나요?,"백기 2층에는 넓고 방음이 잘 되는 스터디룸이 있습니다. KLIB2 앱을 통해 예약할 수 있으며, 학생증을 지참해야 합니다."
미디어관에는 어떤 시설이 있나요?,"미디어관에는 Media Creators Bunker, KU 시네마트랩, 크림슨라운지가 있습니다."
미래융합기술관에는 어떤 시설이 있나요?,"미래융합기술관에는 실험실, 연구실, 디지털정보처가 있습니다."
관리동에 어떤 시설이 있나요?,관리동에는 기숙사 식당이 있습니다.
메디힐지구환경관에는 어떤 시설이 있나요?,메디힐지구환경관에는 실험실과 연구실이 있습니다.
백주년기념관(백기)에서 공부할 수 있는 공간이 있나요?,"백기 1층에 C 라운지라는 이름의 열람실이 있습니다. 알록달록해서 예쁘며, KLIB2 앱에서 좌석 예약할 수 있습니다."
백주년기념관(백기) 2층에 있는 편의 시설은 무엇인가요?,백기 2층에 웨이브를 무료로 볼 수 있는 공간이 있습니다. 심심할 때 한 번 이용해볼 만한 곳입니다.
백주년기념관(백기) 2층에 있는 편의 시설은 무엇인가요?,"백기 2층에는 멀티미디어실이 있습니다. 컴퓨터가 조금 오래된 것 같지만, 노트북을 가져오지 않았을 때 사용하기 좋습니다. 인터넷도 됩니다."
백주년기념관(백기) 1층에 있는 공간은 무엇인가요?,"백기 1층에는 L 라운지가 있으며, 전시/세미나/휴식/학습을 위한 공간입니다."
법학관(구관)에 어떤 편의 시설이 있나요?,법학관(구관) 1층 계단 앞에 자판기가 있습니다.
과학도서관(과도) 1층에 있는 편의 시설은 무엇인가요?,"과도 1층에 캐럴 자리가 있습니다. KLIB2라는 도서관 앱을 통해 예약할 수 있으며, 하루에 2번까지 예약 가능합니다. 한 자리당 2개씩 콘센트가 있고, 의자도 편하며 책상도 커서 공부하거나 강의 듣기 좋습니다."
과학도서관(과도) 1층에 있는 편의 시설은 무엇인가요?,과도 1층에 있는 라운지는 예약 없이 사용할 수 있습니다. 소음이 조금 있는 편이라 조용히 말하면 실시간 비대면 수업도 들을 수 있습니다.
과학도서관(과도) 1층에 있는 편의 시설은 무엇인가요?,"과도 1층 엘리베이터 옆에 테이블 6개 정도가 있으며, 콘센트를 사용할 수 있어 노트북을 펼쳐놓고 공부하기 좋습니다. 따로 신청하거나 예약할 필요가 없습니다."
